epsilon,status,objective,pg_bus_12,pg_bus_19,pg_bus_46,pg_bus_107,pg_bus_100,pg_bus_113,pg_bus_72,pg_bus_55,pg_bus_32,pg_bus_89,pg_bus_65,pg_bus_91,pg_bus_4,pg_bus_18,pg_bus_80,pg_bus_26,pg_bus_66,pg_bus_85,pg_bus_8,pg_bus_24,pg_bus_70,pg_bus_111,pg_bus_76,pg_bus_112,pg_bus_87,pg_bus_61,pg_bus_40,pg_bus_36,pg_bus_25,pg_bus_59,pg_bus_15,pg_bus_6,pg_bus_1,pg_bus_116,pg_bus_42,pg_bus_34,pg_bus_54,pg_bus_74,pg_bus_49,pg_bus_62,pg_bus_27,pg_bus_77,pg_bus_103,pg_bus_10,pg_bus_105,pg_bus_110,pg_bus_104,pg_bus_90,pg_bus_69,pg_bus_73,pg_bus_99,pg_bus_56,pg_bus_31,pg_bus_92
0.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,feasible,151815.45224487665,0.9999999999907024,0.8322249278839992,0.9999999999909995,0.8762667258463221,0.8840378191304563,0.9087106236931262,0.8762667252177173,0.8248230870867213,0.5460203987176374,0.832224928085552,0.9999999999895389,0.9999999999903276,0.8445613291046098,0.5978332879211927,0.8396267688773378,0.9999999999872903,0.8494958885982415,0.04350506691348089,0.7779447595372513,0.3165633179925553,0.8322249280585776,0.8762667237635269,0.8762667237694998,0.8762667258163805,0.8371594886430929,0.9999999999826074,0.8100194048359721,0.876266725889753,0.8544304462023867,0.2066490679969479,0.7631410770043444,0.8758314076055392,0.8762667226732369,0.8762667209436642,0.8371594886138614,0.903776062813951,0.43505066906501033,0.7853466016713818,0.8762667254511797,0.7927484420297957,0.8519631678519244,0.8762667249925297,0.6792535427359504,0.8740758780657392,0.8762667259627395,0.5220608037006931,0.8762667240111962,0.07613386701674289,0.8716933370174108,0.39154560184683296,0.8762667259718693,0.9999999999912814,0.8762667249862762,0.8544304461596085
1.1,feasible,149956.80554419983,1.0999999999989134,0.8090645390805068,1.0999999999989547,0.8090645392094363,0.9187704841361944,1.008710623702869,0.8090645392205205,0.8090645387299665,0.6460203980182884,0.809064539222174,1.0999999999987584,1.0999999999988643,0.8090645392047848,0.6978332866338249,0.8090645392220291,1.0999999999984538,0.8090645392263267,0.04323625815808837,0.8090645223015446,0.4165633180005544,0.8090645392425017,0.8090645391809425,0.8090645392207079,0.8090645391449477,0.809064539216982,1.099999999997704,0.8090645337587574,0.8090645392269218,0.8090645392295532,0.20537222643099806,0.8090645166048825,0.8090645392278186,0.8090645392269954,0.8090645391921532,0.8090645392351599,1.0037760628222379,0.43236258156976365,0.8853466016814415,0.8090645392269901,0.8090645392224506,0.8090645389748702,0.8090645392237232,0.7792535427434785,0.8090645392177025,0.8090645391857013,0.5188350987129736,0.8090645392276674,0.07566345169975625,0.8090645391666292,0.389126323101644,0.8090645392258937,1.0999999999989958,0.8090645392276548,0.8090645390991399
1.2,feasible,148203.31817958396,1.1999999999998745,0.7678474805652608,1.19999999999988,0.7678474805652564,0.9152670344747452,1.1087106237040307,0.7678474805652769,0.7678474805652923,0.7460200913333651,0.7678474737738549,1.199999999999852,1.1999999999998676,0.7678474805652732,0.7678473806845838,0.7678474805579217,1.199999999999802,0.7678474805649852,0.04307138992234584,0.7678474805651543,0.516563318001526,0.767847480565179,0.7678474737738549,0.7678474805652794,0.7678474805654858,0.7678474805653073,1.1999999999996585,0.7678474805654594,0.76784748055778,0.7678474805652509,0.20458910231492997,0.7678474805652861,0.7678474804928752,0.7678474805576269,0.7678474805653331,0.7678474805649819,1.103776062823211,0.43071389922259684,0.9853466016826574,0.7678474805589162,0.767847480564589,0.7678474805654009,0.7678474805652649,0.87925354274435,0.7678474805652868,0.7678474805654298,0.5168566798940498,0.7678474805428372,0.07537493228866218,0.7678474805653206,0.3876425089902254,0.7678474805645882,1.1999999999998852,0.7678474805435345,0.7678474805652997
1.3,feasible,146546.21934617765,1.2999999996538738,0.7331752155414063,1.2999999996661322,0.7331752121609615,0.912319891198353,1.2087106232371403,0.7331752127666836,0.7331752106706632,0.7331752140532649,0.7331706898775062,1.2999999995853047,1.299999999636768,0.7331752124656341,0.7331751719663734,0.7331751228914194,1.2999999993911904,0.733175218333937,0.04293270136949051,0.7331752106246867,0.6165633175863056,0.7331752187202744,0.7331706898775062,0.733175213059291,0.7331752125129996,0.7331752135896609,1.2999999982189043,0.7331752138674659,0.7331751180058323,0.7331752182595648,0.2039303294911908,0.7331752126730308,0.7331743389493592,0.7331751271882717,0.7331752105806196,0.7331752175892902,1.2037760624722418,0.4293270086744667,1.0853466011562454,0.7331751538041004,0.733175214437927,0.7331752105268545,0.7331752179496784,0.9792535424202715,0.7331752120510225,0.7331752106122298,0.5151924111389268,0.7331746194297512,0.07513222677340939,0.7331752106408956,0.3863943075216627,0.7331752126858412,1.299999999669876,0.7331746192644132,0.7331752106339572
1.4,feasible,144981.96582419315,1.399999999991893,0.6991217078888415,1.3999999999940695,0.6991217078623266,0.9094253437912115,1.308710623697223,0.6991217078595252,0.6991217077954885,0.6991217078728608,0.6991217021970834,1.399999999989374,1.3999999999901058,0.6991217078623606,0.6991217078571224,0.6991217078576217,1.399999999979107,0.6991217078958832,0.0427964868696405,0.6991217077837715,0.7165633179915712,0.6991217079015817,0.6991217021970834,0.6991217078603569,0.6991217070321459,0.6991217078630422,1.3999999995714987,0.6991217067162321,0.6991217078518487,0.6991217078857361,0.20328331263463292,0.6991217078616527,0.6991217068836394,0.699121707844366,0.6991217077450292,0.6991217078948627,1.3037760628129995,0.42796486831440883,1.1853466016674015,0.6991217078821649,0.6991217078942864,0.6991217076727508,0.6991217078831209,1.0792535427397587,0.6991217078568491,0.6991217075916781,0.513557842797632,0.6991217071540686,0.07489385189246288,0.6991217077851462,0.3851683811750544,0.6991217078852872,1.399999999995543,0.6991217071395487,0.6991217077773035
1.5,feasible,143510.51142590144,1.4999999999836804,0.6650685285358621,1.4999999999892084,0.6650685285037228,0.9065308235463624,1.408710623689708,0.6650685284965623,0.6650685282924621,0.6650685285085003,0.6650685201156697,1.4999999999790232,1.499999999980169,0.6650685285029992,0.6650685284933936,0.6650685285278648,1.4999999999560447,0.6650685285322979,0.04266027418222921,0.6650685282748372,0.8165633179797539,0.6650685285585684,0.6650685201156697,0.6650685284982447,0.665068526865849,0.6650685285022303,1.4999999956961827,0.6650685266858368,0.6650685285082313,0.6650685285341257,0.20263630222867648,0.6650685285023987,0.6650685276731223,0.6650685284738788,0.665068528182194,0.6650685285556505,1.403776062802517,0.4266027411402442,1.285346601650755,0.6650685285392948,0.6650685286043405,0.6650685280370011,0.665068528528553,1.1792535427355235,0.6650685284868135,0.6650685278887116,0.5119232901843415,0.665068527884594,0.07465547964550341,0.6650685282871158,0.3839424667197199,0.6650685285500776,1.4999999999913636,0.6650685279614145,0.6650685282464301
1.6,feasible,142131.85619926997,1.5999999999605856,0.6310153587794454,1.5999999999716303,0.6310153587089291,0.9036363040936412,1.5087106236605483,0.631015358629483,0.6310153578633537,0.6310153587113546,0.6310153290514822,1.5999999999476189,1.599999999952527,0.6310153586881245,0.6310153589601333,0.6310153589829417,1.5999999998783525,0.6310153587386311,0.04252406156368892,0.6310153578486638,0.9165633179358216,0.6310153588451215,0.6310153290514822,0.6310153586506995,0.6310153549568988,0.631015358678837,1.5999997187255115,0.6310153551018115,0.6310153589705015,0.6310153587661717,0.20198929201108762,0.631015358648962,0.6310153567006015,0.631015358950169,0.6310153576052551,0.6310153588612164,1.5037760627743093,0.4252406143473345,1.3853466015924356,0.6310153589835451,0.631015359068161,0.6310153572786023,0.631015358752871,1.2792535427196419,0.631015358548402,0.6310153569690821,0.5102887380262119,0.6310153574833995,0.07441710748445733,0.6310153578988836,0.38271655260828413,0.631015358889974,1.5999999999758516,0.6310153574930192,0.6310153577389569
