variation_value,status,objective,pg_bus_12,pg_bus_19,pg_bus_46,pg_bus_107,pg_bus_100,pg_bus_113,pg_bus_72,pg_bus_55,pg_bus_32,pg_bus_89,pg_bus_65,pg_bus_91,pg_bus_4,pg_bus_18,pg_bus_80,pg_bus_26,pg_bus_66,pg_bus_85,pg_bus_8,pg_bus_24,pg_bus_70,pg_bus_111,pg_bus_76,pg_bus_112,pg_bus_87,pg_bus_61,pg_bus_40,pg_bus_36,pg_bus_25,pg_bus_59,pg_bus_15,pg_bus_6,pg_bus_1,pg_bus_116,pg_bus_42,pg_bus_34,pg_bus_54,pg_bus_74,pg_bus_49,pg_bus_62,pg_bus_27,pg_bus_77,pg_bus_103,pg_bus_10,pg_bus_105,pg_bus_110,pg_bus_104,pg_bus_90,pg_bus_69,pg_bus_73,pg_bus_99,pg_bus_56,pg_bus_31,pg_bus_92
0.05,feasible,125947.88144914007,4.360807751130464,2.81125683059005e-8,5.004269146809691,3.120401689283707e-8,0.8237081287116803,2.442052337119633,9.263949318257856e-9,3.963915021813591e-9,1.9298029542580842e-8,2.1931928352110264e-8,3.0428747348437106,3.7890573933551552,1.1202496284228413e-8,2.2728819988142968e-8,2.2849143584800107e-8,2.131950451847197,8.068706852643439e-9,0.03876273552822626,6.0371386683711074e-9,1.5020560024186431,1.9168598946352195e-8,2.1931928352110264e-8,1.0400708659353701e-8,7.124399450706228e-10,7.684126937246362e-9,1.5505094210761994,4.79156559232182e-9,2.2775461674685296e-8,1.1283663791651318e-8,0.18412299391949855,6.005826769742235e-9,2.5250083844035166e-8,1.6773088769400884e-8,5.17269283742591e-9,1.8981565517073898e-8,3.7987480788957084,0.38762735526986436,1.976899513611558,2.092725068037545e-8,1.5775717103269226e-8,4.840125539912471e-9,1.1005511271505147e-8,4.622456208714075,8.961850662459104e-9,4.346020874284298e-9,0.46515282706791555,2.4736480929689954e-8,0.067834787105296,7.757021621428267e-9,0.348864619463915,1.957339297238602e-8,5.8822450096196315,2.6165991518584743e-8,3.8479273627255235e-9
0.1,feasible,125947.88144914007,4.360807751130464,2.81125683059005e-8,5.004269146809691,3.120401689283707e-8,0.8237081287116803,2.442052337119633,9.263949318257856e-9,3.963915021813591e-9,1.9298029542580842e-8,2.1931928352110264e-8,3.0428747348437106,3.7890573933551552,1.1202496284228413e-8,2.2728819988142968e-8,2.2849143584800107e-8,2.131950451847197,8.068706852643439e-9,0.03876273552822626,6.0371386683711074e-9,1.5020560024186431,1.9168598946352195e-8,2.1931928352110264e-8,1.0400708659353701e-8,7.124399450706228e-10,7.684126937246362e-9,1.5505094210761994,4.79156559232182e-9,2.2775461674685296e-8,1.1283663791651318e-8,0.18412299391949855,6.005826769742235e-9,2.5250083844035166e-8,1.6773088769400884e-8,5.17269283742591e-9,1.8981565517073898e-8,3.7987480788957084,0.38762735526986436,1.976899513611558,2.092725068037545e-8,1.5775717103269226e-8,4.840125539912471e-9,1.1005511271505147e-8,4.622456208714075,8.961850662459104e-9,4.346020874284298e-9,0.46515282706791555,2.4736480929689954e-8,0.067834787105296,7.757021621428267e-9,0.348864619463915,1.957339297238602e-8,5.8822450096196315,2.6165991518584743e-8,3.8479273627255235e-9
0.15,feasible,125947.88117572085,4.3608077440074915,2.7901188589967606e-8,5.0042691386356815,3.0890177944640194e-8,0.8237081273662183,2.4420523331307558,9.236725914401687e-9,3.965840678624215e-9,1.921534827583707e-8,2.1868098505764067e-8,3.0428747298734504,3.7890573871661055,1.1168412512787152e-8,2.266196856960754e-8,2.2781837615422048e-8,2.1319504483648437,8.069450445152986e-9,0.03876273546490486,6.029873362695985e-9,1.5020559999651646,1.9064682692949134e-8,2.1868098505764067e-8,1.0365654319365372e-8,7.112261129060092e-10,7.677050362605824e-9,1.5505094185435755,4.77054359657623e-9,2.2708434167232792e-8,1.1256611608519108e-8,0.18412299361874154,6.016858127974378e-9,2.5164325852540634e-8,1.674656308183335e-8,5.171239877347337e-9,1.8880675316996397e-8,3.798748072690835,0.3876273546367019,1.9768995103824667,2.0875955308267692e-8,1.574655482369699e-8,4.838280304473924e-9,1.0979971871971143e-8,4.622456201162553,8.935141796078333e-9,4.344811939008158e-9,0.4651528263081225,2.465639647044693e-8,0.06783478699448553,7.730163465178834e-9,0.34886461889406767,1.9462435291442632e-8,5.882245001766233,2.6075586374083427e-8,3.829935935564544e-9
0.2,feasible,125947.88137859367,4.360807749251236,2.7699557309359882e-8,5.004269144653152,3.0575006581972134e-8,0.8237081283566947,2.442052336067235,9.220289478432229e-9,3.97481759705733e-9,1.9149147509773265e-8,2.1828502239716038e-8,3.042874733532405,3.7890573917223516,1.114777453770209e-8,2.2619867811347205e-8,2.2739381131133652e-8,2.131950450928438,8.08387110191968e-9,0.03876273551151059,6.031318835065985e-9,1.502056001771331,1.8974202590185836e-8,2.1828502239716038e-8,1.034176859837333e-8,7.10049050839318e-10,7.68162891936427e-9,1.5505094204080052,4.754054478280464e-9,2.2666195646243038e-8,1.1243438657817874e-8,0.18412299384013536,6.0352174527753016e-9,2.5103951745734178e-8,1.674220980599282e-8,5.17814055353971e-9,1.8793437947710806e-8,3.7987480772587308,0.38762735510280283,1.9768995127596165,2.0849334916992255e-8,1.573748603391048e-8,4.844179715059074e-9,1.0968142517197717e-8,4.622456206718858,8.918728976788437e-9,4.3506793604699426e-9,0.4651528268674464,2.4601870015874194e-8,0.06783478707604698,7.711673933431408e-9,0.3488646193135578,1.936434918582583e-8,5.882245010740035,2.6011098111368387e-8,3.8155123465692636e-9
0.25,feasible,125947.88131393472,4.360807747555785,2.7460895949272656e-8,5.004269142707522,3.0218110883562926e-8,0.8237081280364331,2.442052335117772,9.19599560881407e-9,3.980437258986634e-9,1.9066386550612276e-8,2.176286541148164e-8,3.042874732349354,3.7890573902492126,1.112301721742377e-8,2.2550093922308467e-8,2.2668993603943257e-8,2.1319504500995436,8.090984515020898e-9,0.0387627354964349,6.0273759836851056e-9,1.5020560011873307,1.8862904382058496e-8,2.176286541148164e-8,1.0308718064809243e-8,7.078878692895544e-10,7.680686632271529e-9,1.5505094198051672,4.733946778539571e-9,2.2596183769596164e-8,1.1220650793606496e-8,0.18412299376854,6.0502232566740576e-9,2.501130187858915e-8,1.6719686981556847e-8,5.180613334225064e-9,1.8685482522858178e-8,3.7987480757818166,0.38762735495208656,1.9768995119909998,2.079795309116908e-8,1.5713436198612864e-8,4.845910465587998e-9,1.0946985503780307e-8,4.622456204917952,8.894533509952376e-9,4.3528415588205024e-9,0.4651528266865878,2.451601523874609e-8,0.06783478704966397,7.686574169526601e-9,0.34886461917791184,1.9244554629494777e-8,5.88224501048032,2.5912467719289844e-8,3.798447193693829e-9
0.3,feasible,125947.88144385713,4.360807750994339,2.718823327458724e-8,5.0042691466535,2.9826055777884016e-8,0.823708128685927,2.4420523370433678,9.160616940399822e-9,3.981244139593173e-9,1.8961529771336836e-8,2.1669579482715622e-8,3.042874734748696,3.7890573932369724,1.1084743287743885e-8,2.2451288042536836e-8,2.2569392199545227e-8,2.131950451780607,8.08822889194268e-9,0.03876273552699438,6.016055944489097e-9,1.5020560023717175,1.872904803450288e-8,2.1669579482715622e-8,1.0263273488271085e-8,7.049457011928172e-10,7.670378030493884e-9,1.5505094210277597,4.708284667257949e-9,2.2497069448170696e-8,1.1184295002336422e-8,0.1841229939137129,6.057761183308326e-9,2.488605090102068e-8,1.6676125896099753e-8,5.176734890872046e-9,1.855511970335377e-8,3.7987480787772143,0.3876273552577271,1.9768995135498078,2.0720085187868076e-8,1.566944761662679e-8,4.841708641618601e-9,1.0912588940733956e-8,4.622456208555954,8.859630207390428e-9,4.349687750729998e-9,0.46515282705335803,2.4398289362128787e-8,0.06783478710314145,7.65226635153668e-9,0.3488646194529872,1.910172023577146e-8,5.882245017245554,2.5779786061552165e-8,3.776982259789249e-9
0.35,feasible,125947.88139571322,4.3608077498182185,2.690402494343535e-8,5.004269145303865,2.942500080094942e-8,0.823708128463759,2.4420523363847346,9.118472286159633e-9,3.978643829728925e-9,1.884387687059238e-8,2.1563036245781953e-8,3.0428747339280244,3.7890573922150774,1.1038251312982413e-8,2.2338567122350114e-8,2.2455802167531863e-8,2.1319504512056078,8.079112689602145e-9,0.03876273551653378,5.998565578791387e-9,1.5020560019665954,1.8584502787874496e-8,2.1563036245781953e-8,1.0210392983742294e-8,7.015667924182903e-10,7.654111707122615e-9,1.5505094206095715,4.6789152447484705e-9,2.238401148601195e-8,1.1139764502829697e-8,0.18412299386404238,6.060315512981755e-9,2.474612022137414e-8,1.6620986964325493e-8,5.168564223467903e-9,1.8414073403652938e-8,3.7987480777527045,0.38762735515317176,1.9768995130166218,2.0629069815617082e-8,1.561425942295453e-8,4.8334618262515025e-9,1.0870186439129227e-8,4.622456207296531,8.818162586488417e-9,4.34284358136338e-9,0.4651528269278913,2.4266008301112023e-8,0.0678347870848343,7.612253898774822e-9,0.3488646193588861,1.894810875297117e-8,5.882245017781674,2.563197979169065e-8,3.7524842693309354e-9
0.4,feasible,125947.8814445654,4.36080775124918,2.6584447986913558e-8,5.00426914694597,2.8985925924123677e-8,0.8237081287340391,2.442052337186057,9.06178182497939e-9,3.969034580175632e-9,1.8698453353407267e-8,2.1424834773129748e-8,3.042874734926509,3.7890573934584295,1.097416553657988e-8,2.2193001766411394e-8,2.230922395467038e-8,2.1319504519051757,8.05608337200333e-9,0.03876273552924634,5.968779978782104e-9,1.502056002459463,1.8412653706526016e-8,2.1424834773129748e-8,1.0141415654238198e-8,6.971752315870357e-10,7.625181456833997e-9,1.5505094211183386,4.641542949237692e-9,2.223805348417954e-8,1.1077706818412558e-8,0.18412299392444587,6.052383085447406e-9,2.4570361407018072e-8,1.6540338585691278e-8,5.151510571038314e-9,1.8245737330277088e-8,3.798748078999227,0.38762735528035397,1.9768995136653011,2.0507209753929895e-8,1.5535266195657754e-8,4.816845783536343e-9,1.0810636492275227e-8,4.622456208788048,8.76255994016766e-9,4.3283823933417125e-9,0.46515282708051087,2.4098468123976254e-8,0.06783478710707988,7.559888529094803e-9,0.3488646194733485,1.876636416266346e-8,5.882245021868617,2.5447142421041352e-8,3.7214286922117108e-9
0.45,feasible,125947.88144748763,4.3608077516247254,2.6191254585386688e-8,5.004269147376937,2.8457083710914843e-8,0.8237081288049583,2.44205233739634,8.975998259125808e-9,3.945528884889453e-9,1.8496493091555577e-8,2.122360409524671e-8,3.042874735188552,3.7890573937847405,1.0875313639552962e-8,2.198208726604192e-8,2.2096974776313744e-8,2.1319504520887635,8.004770855135569e-9,0.038762735532575636,5.918667335489711e-9,1.502056002588799,1.8186088920937025e-8,2.122360409524671e-8,1.0040400136579746e-8,6.907595515039877e-10,7.570364356987334e-9,1.5505094212518475,4.5882291261218274e-9,2.2026621601018863e-8,1.0980485205287562e-8,0.18412299394028456,6.022821885863597e-9,2.432325548171367e-8,1.6409709423835728e-8,5.1165027140022924e-9,1.802284933675728e-8,3.798748079326381,0.38762735531371734,1.9768995138355299,2.0324122799647896e-8,1.5412882905384864e-8,4.7833495588765664e-9,1.071664254588031e-8,4.622456209142865,8.6786459387996e-9,4.298610150542258e-9,0.46515282712055117,2.3860737640534868e-8,0.06783478711290457,7.482858695299491e-9,0.34886461950337355,1.8527538441206397e-8,5.882245024665966,2.518860894849771e-8,3.6766973711623463e-9
0.5,feasible,125947.88123821821,4.360807746671506,2.5701518687616502e-8,5.004269141692917,2.782920688617374e-8,0.8237081278693318,2.442052334622537,8.851232808882741e-9,3.9032375106116485e-9,1.822013374265749e-8,2.0938004389174674e-8,3.0428747317323137,3.7890573894809516,1.07298995846017e-8,2.1683996412937147e-8,2.1797143870858987e-8,2.131950449667183,7.917586712434765e-9,0.03876273548853763,5.841718001254393e-9,1.5020560008826747,1.7887466613736704e-8,2.0938004389174674e-8,9.896368451458459e-9,6.83335281647618e-10,7.481717095920545e-9,1.5505094194906885,4.513957569842513e-9,2.1727856194232677e-8,1.0836282289116984e-8,0.1841229937311254,5.965466213212073e-9,2.3981242370603635e-8,1.621097131232057e-8,5.057752406343958e-9,1.7728424931833268e-8,3.7987480750115927,0.38762735487341066,1.9768995115900583,2.0059351028618342e-8,1.5226132841294096e-8,4.727538309184687e-9,1.0576665017957845e-8,4.6224562036251164,8.556966339260595e-9,4.248583338557001e-9,0.46515282659218565,2.352955846663017e-8,0.06783478703583101,7.372927857447081e-9,0.3488646191070946,1.821570403995909e-8,5.882245020443221,2.48321932866719e-8,3.6149066145994032e-9
