variation_value,status,objective,pg_bus_1,pg_bus_2
0.05,feasible,0.0,1.9,0.10000000000000009
0.1,feasible,0.0,1.9,0.10000000000000009
0.15,feasible,0.0,1.9,0.10000000000000009
0.2,feasible,0.0,1.9,0.10000000000000009
0.25,feasible,0.0,1.9,0.10000000000000009
0.3,feasible,0.0,1.9,0.10000000000000009
0.35,feasible,0.0,1.9,0.10000000000000009
0.4,feasible,0.0,1.9,0.10000000000000009
0.45,feasible,0.0,1.9,0.10000000000000009
0.5,feasible,0.0,1.9,0.10000000000000009
0.55,feasible,0.0,1.9,0.10000000000000009
0.6,feasible,0.0,1.9,0.10000000000000009
0.65,feasible,0.0,1.9,0.10000000000000009
0.7,feasible,0.0,1.9,0.10000000000000009
0.75,feasible,0.0,1.9,0.10000000000000009
0.8,feasible,0.0,1.9,0.10000000000000009
0.85,feasible,0.0,1.9,0.10000000000000009
0.9,feasible,0.0,1.9,0.10000000000000009
0.95,feasible,0.0,1.9,0.10000000000000009
