confidence_level,status,objective,pg_bus_1,pg_bus_3,pg_bus_4,pg_bus_5
0.1,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.2,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.3,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.4,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.5,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.6,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.7,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.8,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.9,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.95,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.975,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.99,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
