epsilon,status,objective,pg_bus_1,pg_bus_3,pg_bus_4,pg_bus_5
0.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.6,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.7,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.6,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.7,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
1.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.6,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.7,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
2.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
3.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
3.5,feasible,21450.18413212816,2.7598158678718376,1.6401841321281618,1.7,0.4
4.0,feasible,19450.18413212816,3.2598158678718376,0.6401841321281618,1.7,0.4
4.5,feasible,17810.0,3.3999999999999995,0.0,1.7,0.4
5.0,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
6.0,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
7.0,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
8.0,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
9.0,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
10.0,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
